full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,48834,48834,3442,60,60,4,https://github.com/anthropics/claude-code
shareAI-lab/analysis_claude_code,11761,11761,3060,-1,-1,0,https://github.com/shareAI-lab/analysis_claude_code
musistudio/claude-code-router,24069,24069,1898,7,7,1,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,18698,18698,1060,13,13,0,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,13847,13847,1200,14,14,0,https://github.com/davila7/claude-code-templates
anthropics/claude-code-action,4446,4446,1296,2,2,0,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,7872,7872,1053,2,2,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,6366,6366,687,13,13,1,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3333,3333,497,4,4,1,https://github.com/OneRedOak/claude-code-workflows
kodu-ai/claude-coder,5291,5291,200,0,0,0,https://github.com/kodu-ai/claude-coder
1rgs/claude-code-proxy,2693,2693,369,1,1,0,https://github.com/1rgs/claude-code-proxy
Maciek-roboblog/Claude-Code-Usage-Monitor,5992,5992,292,0,0,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,1857,1857,329,0,0,1,https://github.com/Yuyz0112/claude-code-reverse
disler/claude-code-hooks-mastery,1983,1983,430,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2814,2814,247,3,3,0,https://github.com/zebbern/claude-code-guide
Cranot/claude-code-guide,2221,2221,245,0,0,0,https://github.com/Cranot/claude-code-guide
Piebald-AI/claude-code-system-prompts,2121,2121,345,9,9,3,https://github.com/Piebald-AI/claude-code-system-prompts
anthropics/claude-code-base-action,540,540,597,0,0,-1,https://github.com/anthropics/claude-code-base-action
obra/superpowers,11969,11969,975,44,44,4,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,24448,24448,2368,6,6,2,https://github.com/eyaltoledano/claude-task-master
fuergaosi233/claude-code-proxy,1793,1793,242,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Pimzino/claude-code-spec-workflow,3241,3241,235,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,23523,23523,2606,11,11,3,https://github.com/wshobson/agents
anthropics/claude-code-security-review,2759,2759,205,0,0,0,https://github.com/anthropics/claude-code-security-review
davepoon/claude-code-subagents-collection,2082,2082,231,0,0,0,https://github.com/davepoon/claude-code-subagents-collection
siteboon/claudecodeui,5162,5162,657,0,0,0,https://github.com/siteboon/claudecodeui
github/spec-kit,58030,58030,5050,33,33,0,https://github.com/github/spec-kit
https-deeplearning-ai/sc-claude-code-files,340,340,425,0,0,-1,https://github.com/https-deeplearning-ai/sc-claude-code-files
ghuntley/claude-code-source-code-deobfuscation,762,762,386,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/skills,27567,27567,2525,63,63,7,https://github.com/anthropics/skills
lst97/claude-code-sub-agents,1255,1255,210,0,0,0,https://github.com/lst97/claude-code-sub-agents
rizethereum/claude-code-requirements-builder,1717,1717,170,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
feiskyer/claude-code-settings,968,968,154,1,1,0,https://github.com/feiskyer/claude-code-settings
nishimoto265/Claude-Code-Communication,463,463,216,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
sugyan/claude-code-webui,771,771,173,0,0,0,https://github.com/sugyan/claude-code-webui
edmund-io/edmunds-claude-code,735,735,156,1,1,0,https://github.com/edmund-io/edmunds-claude-code
andrepimenta/claude-code-chat,940,940,137,0,0,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19490,19490,1495,2,2,0,https://github.com/winfunc/opcode
centminmod/my-claude-code-setup,1475,1475,136,0,0,0,https://github.com/centminmod/my-claude-code-setup
peterkrueck/Claude-Code-Development-Kit,1260,1260,143,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
ComposioHQ/awesome-claude-skills,11611,11611,1227,158,158,11,https://github.com/ComposioHQ/awesome-claude-skills
